Date,Forecast,Actual
NOVEMBER 2019,"$33,000,000","$39,000,000"
JANUARY 2020,"$40,000,000","$41,000,000"
FEBRUARY 2020,"$25,000,000","$28,000,000"
JULY 2020,"$39,000,000","$41,000,000"
AUGUST 2019,"$30,000,000","$30,000,000"
AUGUST 2020,"$30,000,000","$34,000,000"
MARCH 2020,"$26,000,000","$25,000,000"
JULY 2019,"$38,000,000","$35,000,000"
NOVEMBER 2020,"$33,000,000","$35,000,000"
SEPTEMBER 2020,"$33,000,000","$33,000,000"
JANUARY 2019,"$41,000,000","$38,000,000"
MARCH 2019,"$27,000,000","$22,000,000"
SEPTEMBER 2019,"$33,000,000","$29,000,000"
OCTOBER 2020,"$33,000,000","$37,000,000"
OCTOBER 2019,"$33,000,000","$33,000,000"
MAY 2020,"$31,000,000","$28,000,000"
JUNE 2019,"$50,000,000","$28,000,000"
FEBRUARY 2019,"$24,000,000","$22,000,000"
MAY 2019,"$31,000,000","$24,000,000"
JUNE 2020,"$33,000,000","$28,000,000"
